Sunday_date,Age_group,1st_dose,2nd_dose,3rd_dose
2020-12-20,0-19,767,0,0
2020-12-20,20-29,8480,0,0
2020-12-20,30-39,17641,0,0
2020-12-20,40-49,24402,0,0
2020-12-20,50-59,26534,0,0
2020-12-20,60-69,95812,0,0
2020-12-20,70-79,79811,0,0
2020-12-20,80-89,26396,0,0
2020-12-20,90+,4462,0,0
2020-12-27,0-19,8127,0,0
2020-12-27,20-29,42409,0,0
2020-12-27,30-39,64199,0,0
2020-12-27,40-49,95069,0,0
2020-12-27,50-59,124226,0,0
2020-12-27,60-69,229769,0,0
2020-12-27,70-79,182776,0,0
2020-12-27,80-89,83553,0,0
2020-12-27,90+,20131,0,0
2021-01-03,0-19,12822,0,0
2021-01-03,20-29,55747,0,0
2021-01-03,30-39,74970,0,0
2021-01-03,40-49,121785,0,0
2021-01-03,50-59,151994,0,0
2021-01-03,60-69,159864,0,0
2021-01-03,70-79,110631,0,0
2021-01-03,80-89,56663,0,0
2021-01-03,90+,12743,0,0
2021-01-10,0-19,4385,628,0
2021-01-10,20-29,22213,7332,0
2021-01-10,30-39,32706,15603,0
2021-01-10,40-49,51547,21782,0
2021-01-10,50-59,91209,23512,0
2021-01-10,60-69,26502,83510,0
2021-01-10,70-79,14456,69542,0
2021-01-10,80-89,6986,22698,0
2021-01-10,90+,1376,3877,0
2021-01-17,0-19,22750,6426,0
2021-01-17,20-29,68591,36835,0
2021-01-17,30-39,64208,56058,0
2021-01-17,40-49,150101,81562,0
2021-01-17,50-59,87622,104474,0
2021-01-17,60-69,23572,215961,0
2021-01-17,70-79,11822,176576,0
2021-01-17,80-89,5517,78702,0
2021-01-17,90+,1116,18568,0
2021-01-24,0-19,81008,12096,0
2021-01-24,20-29,83596,54505,0
2021-01-24,30-39,93260,73258,0
2021-01-24,40-49,114071,119797,0
2021-01-24,50-59,49092,155937,0
2021-01-24,60-69,19465,165883,0
2021-01-24,70-79,10263,116111,0
2021-01-24,80-89,4918,58729,0
2021-01-24,90+,1183,13023,0
2021-01-31,0-19,46476,5023,0
2021-01-31,20-29,102970,24111,0
2021-01-31,30-39,124445,35670,0
2021-01-31,40-49,73777,56700,0
2021-01-31,50-59,36757,94319,0
2021-01-31,60-69,15504,36642,0
2021-01-31,70-79,8578,21177,0
2021-01-31,80-89,4319,10359,0
2021-01-31,90+,1132,2127,0
2021-02-07,0-19,31487,16971,0
2021-02-07,20-29,133125,61197,0
2021-02-07,30-39,116004,60394,0
2021-02-07,40-49,56686,142825,0
2021-02-07,50-59,32960,89977,0
2021-02-07,60-69,15135,23703,0
2021-02-07,70-79,7216,11982,0
2021-02-07,80-89,3432,5558,0
2021-02-07,90+,882,1087,0
2021-02-14,0-19,44669,76429,0
2021-02-14,20-29,140377,80996,0
2021-02-14,30-39,114985,87742,0
2021-02-14,40-49,69711,114550,0
2021-02-14,50-59,40678,49492,0
2021-02-14,60-69,19143,19544,0
2021-02-14,70-79,8185,10263,0
2021-02-14,80-89,3415,4760,0
2021-02-14,90+,733,1116,0
2021-02-21,0-19,43084,46896,0
2021-02-21,20-29,120654,98666,0
2021-02-21,30-39,101981,121279,0
2021-02-21,40-49,61854,75519,0
2021-02-21,50-59,36942,37430,0
2021-02-21,60-69,19229,16019,0
2021-02-21,70-79,9518,8853,0
2021-02-21,80-89,4264,4451,0
2021-02-21,90+,904,1146,0
2021-02-28,0-19,26739,31112,0
2021-02-28,20-29,66434,130601,0
2021-02-28,30-39,55120,116048,0
2021-02-28,40-49,37653,56737,0
2021-02-28,50-59,24692,32334,0
2021-02-28,60-69,14630,14875,0
2021-02-28,70-79,7434,7232,0
2021-02-28,80-89,3190,3544,0
2021-02-28,90+,643,954,0
2021-03-07,0-19,19733,40352,0
