Sunday_date,Age_group,positive_unvaccinated,positive_after_1st_dose,positive_after_2nd_dose,positive_after_3rd_dose
2020-12-20,0-19,8117.0,0.0,0.0,0.0
2020-12-20,20-29,4752.0,15.0,0.0,0.0
2020-12-20,30-39,3767.0,24.0,0.0,0.0
2020-12-20,40-49,3469.0,21.0,0.0,0.0
2020-12-20,50-59,2517.0,20.0,0.0,0.0
2020-12-20,60-69,1786.0,25.0,0.0,0.0
2020-12-20,70-79,893.0,9.0,0.0,0.0
2020-12-20,80-89,396.0,4.0,0.0,0.0
2020-12-20,90+,140.0,0.0,0.0,0.0
2020-12-20,total,25837.0,118.0,0.0,0.0
2020-12-27,0-19,12759.0,50.0,0.0,0.0
2020-12-27,20-29,6249.0,194.0,0.0,0.0
2020-12-27,30-39,5031.0,202.0,0.0,0.0
2020-12-27,40-49,4147.0,220.0,0.0,0.0
2020-12-27,50-59,3158.0,258.0,0.0,0.0
2020-12-27,60-69,1873.0,432.0,0.0,0.0
2020-12-27,70-79,936.0,209.0,0.0,0.0
2020-12-27,80-89,422.0,97.0,0.0,0.0
2020-12-27,90+,160.0,28.0,0.0,0.0
2020-12-27,total,34735.0,1690.0,0.0,0.0
2021-01-03,0-19,18272.0,186.0,0.0,0.0
2021-01-03,20-29,8396.0,550.0,0.0,0.0
2021-01-03,30-39,6363.0,658.0,0.0,0.0
2021-01-03,40-49,5247.0,905.0,0.0,0.0
2021-01-03,50-59,3296.0,1037.0,0.0,0.0
2021-01-03,60-69,1577.0,1424.0,0.0,0.0
2021-01-03,70-79,695.0,726.0,0.0,0.0
2021-01-03,80-89,375.0,455.0,0.0,0.0
2021-01-03,90+,111.0,193.0,0.0,0.0
2021-01-03,total,44332.0,6134.0,0.0,0.0
2021-01-10,0-19,22239.0,261.0,0.0,0.0
2021-01-10,20-29,9035.0,687.0,4.0,0.0
2021-01-10,30-39,7061.0,866.0,5.0,0.0
2021-01-10,40-49,5378.0,1345.0,10.0,0.0
2021-01-10,50-59,3269.0,1610.0,11.0,0.0
2021-01-10,60-69,1285.0,1927.0,16.0,0.0
2021-01-10,70-79,582.0,1093.0,4.0,0.0
2021-01-10,80-89,287.0,651.0,8.0,0.0
2021-01-10,90+,105.0,221.0,0.0,0.0
2021-01-10,total,49241.0,8661.0,58.0,0.0
2021-01-17,0-19,19781.0,245.0,12.0,0.0
2021-01-17,20-29,7937.0,585.0,33.0,0.0
2021-01-17,30-39,5839.0,634.0,42.0,0.0
2021-01-17,40-49,4334.0,1110.0,93.0,0.0
2021-01-17,50-59,2416.0,1515.0,87.0,0.0
2021-01-17,60-69,1097.0,1334.0,171.0,0.0
2021-01-17,70-79,471.0,700.0,119.0,0.0
2021-01-17,80-89,259.0,438.0,83.0,0.0
2021-01-17,90+,85.0,132.0,34.0,0.0
2021-01-17,total,42219.0,6693.0,674.0,0.0
2021-01-24,0-19,18408.0,511.0,15.0,0.0
2021-01-24,20-29,7381.0,827.0,82.0,0.0
2021-01-24,30-39,5011.0,720.0,128.0,0.0
2021-01-24,40-49,3419.0,1393.0,202.0,0.0
2021-01-24,50-59,1973.0,1268.0,292.0,0.0
2021-01-24,60-69,968.0,654.0,404.0,0.0
2021-01-24,70-79,395.0,352.0,287.0,0.0
2021-01-24,80-89,237.0,173.0,218.0,0.0
2021-01-24,90+,77.0,52.0,81.0,0.0
2021-01-24,total,37869.0,5950.0,1709.0,0.0
2021-01-31,0-19,18125.0,1260.0,24.0,0.0
2021-01-31,20-29,7309.0,1294.0,72.0,0.0
2021-01-31,30-39,5147.0,1005.0,134.0,0.0
2021-01-31,40-49,3172.0,1601.0,257.0,0.0
2021-01-31,50-59,1917.0,1052.0,398.0,0.0
2021-01-31,60-69,893.0,381.0,375.0,0.0
2021-01-31,70-79,413.0,159.0,271.0,0.0
2021-01-31,80-89,223.0,103.0,193.0,0.0
2021-01-31,90+,61.0,21.0,69.0,0.0
2021-01-31,total,37260.0,6876.0,1793.0,0.0
2021-02-07,0-19,14260.0,820.0,20.0,0.0
2021-02-07,20-29,5747.0,1086.0,71.0,0.0
2021-02-07,30-39,3977.0,1054.0,97.0,0.0
2021-02-07,40-49,2551.0,1087.0,190.0,0.0
2021-02-07,50-59,1544.0,691.0,270.0,0.0
2021-02-07,60-69,772.0,242.0,210.0,0.0
2021-02-07,70-79,321.0,111.0,134.0,0.0
2021-02-07,80-89,198.0,58.0,99.0,0.0
2021-02-07,90+,63.0,18.0,30.0,0.0
2021-02-07,total,29433.0,5167.0,1121.0,0.0
2021-02-14,0-19,10114.0,412.0,30.0,0.0
2021-02-14,20-29,4201.0,1103.0,70.0,0.0
2021-02-14,30-39,2789.0,900.0,105.0,0.0
2021-02-14,40-49,1849.0,653.0,176.0,0.0
2021-02-14,50-59,1133.0,435.0,158.0,0.0
2021-02-14,60-69,577.0,171.0,103.0,0.0
2021-02-14,70-79,237.0,83.0,93.0,0.0
2021-02-14,80-89,108.0,25.0,57.0,0.0
2021-02-14,90+,39.0,12.0,15.0,0.0
2021-02-14,total,21047.0,3794.0,807.0,0.0
2021-02-21,0-19,10492.0,498.0,42.0,0.0
2021-02-21,20-29,3546.0,1434.0,109.0,0.0
2021-02-21,30-39,2483.0,1166.0,178.0,0.0
2021-02-21,40-49,1602.0,768.0,203.0,0.0
2021-02-21,50-59,1052.0,452.0,133.0,0.0
2021-02-21,60-69,508.0,213.0,122.0,0.0
2021-02-21,70-79,242.0,64.0,79.0,0.0
2021-02-21,80-89,137.0,27.0,53.0,0.0
2021-02-21,90+,35.0,8.0,19.0,0.0
2021-02-21,total,20097.0,4630.0,938.0,0.0
2021-02-28,0-19,12128.0,571.0,46.0,0.0
2021-02-28,20-29,2653.0,1554.0,131.0,0.0
2021-02-28,30-39,2024.0,1389.0,254.0,0.0
2021-02-28,40-49,1350.0,870.0,226.0,0.0
2021-02-28,50-59,713.0,505.0,163.0,0.0
2021-02-28,60-69,415.0,254.0,138.0,0.0
2021-02-28,70-79,190.0,96.0,104.0,0.0
2021-02-28,80-89,121.0,38.0,50.0,0.0
2021-02-28,90+,33.0,17.0,31.0,0.0
2021-02-28,total,19627.0,5294.0,1143.0,0.0
2021-03-07,0-19,8596.0,277.0,27.0,0.0
2021-03-07,20-29,1779.0,775.0,110.0,0.0
2021-03-07,30-39,1364.0,785.0,193.0,0.0
2021-03-07,40-49,924.0,562.0,210.0,0.0
2021-03-07,50-59,557.0,312.0,148.0,0.0
2021-03-07,60-69,302.0,185.0,115.0,0.0
2021-03-07,70-79,145.0,92.0,86.0,0.0
2021-03-07,80-89,67.0,18.0,53.0,0.0
2021-03-07,90+,26.0,16.0,24.0,0.0
2021-03-07,total,13760.0,3022.0,966.0,0.0
2021-03-14,0-19,4422.0,124.0,17.0,0.0
2021-03-14,20-29,991.0,287.0,88.0,0.0
2021-03-14,30-39,792.0,288.0,134.0,0.0
2021-03-14,40-49,536.0,220.0,111.0,0.0
2021-03-14,50-59,318.0,138.0,102.0,0.0
2021-03-14,60-69,188.0,93.0,93.0,0.0
2021-03-14,70-79,90.0,37.0,36.0,0.0
2021-03-14,80-89,82.0,11.0,27.0,0.0
2021-03-14,90+,12.0,4.0,13.0,0.0
2021-03-14,total,7431.0,1202.0,621.0,0.0
2021-03-21,0-19,1935.0,44.0,12.0,0.0
2021-03-21,20-29,452.0,125.0,40.0,0.0
2021-03-21,30-39,424.0,107.0,55.0,0.0
2021-03-21,40-49,332.0,80.0,87.0,0.0
2021-03-21,50-59,173.0,47.0,46.0,0.0
2021-03-21,60-69,110.0,25.0,56.0,0.0
2021-03-21,70-79,67.0,13.0,41.0,0.0
2021-03-21,80-89,31.0,13.0,24.0,0.0
2021-03-21,90+,9.0,4.0,4.0,0.0
2021-03-21,total,3533.0,458.0,365.0,0.0
2021-03-28,0-19,1015.0,20.0,13.0,0.0
2021-03-28,20-29,242.0,37.0,35.0,0.0
2021-03-28,30-39,218.0,38.0,30.0,0.0
2021-03-28,40-49,165.0,34.0,60.0,0.0
2021-03-28,50-59,108.0,22.0,41.0,0.0
2021-03-28,60-69,74.0,16.0,34.0,0.0
2021-03-28,70-79,39.0,16.0,19.0,0.0
2021-03-28,80-89,26.0,8.0,6.0,0.0
2021-03-28,90+,7.0,0.0,5.0,0.0
2021-03-28,total,1894.0,191.0,243.0,0.0
2021-04-04,0-19,713.0,16.0,8.0,0.0
2021-04-04,20-29,203.0,22.0,12.0,0.0
2021-04-04,30-39,173.0,17.0,37.0,0.0
2021-04-04,40-49,115.0,21.0,34.0,0.0
2021-04-04,50-59,62.0,13.0,30.0,0.0
2021-04-04,60-69,58.0,16.0,37.0,0.0
2021-04-04,70-79,29.0,12.0,21.0,0.0
2021-04-04,80-89,19.0,4.0,27.0,0.0
2021-04-04,90+,8.0,0.0,4.0,0.0
2021-04-04,total,1380.0,121.0,210.0,0.0
2021-04-11,0-19,468.0,12.0,8.0,0.0
2021-04-11,20-29,96.0,8.0,21.0,0.0
2021-04-11,30-39,96.0,16.0,30.0,0.0
2021-04-11,40-49,69.0,8.0,29.0,0.0
2021-04-11,50-59,35.0,12.0,23.0,0.0
2021-04-11,60-69,28.0,12.0,20.0,0.0
2021-04-11,70-79,26.0,4.0,19.0,0.0
2021-04-11,80-89,9.0,8.0,12.0,0.0
2021-04-11,90+,6.0,0.0,5.0,0.0
2021-04-11,total,833.0,80.0,167.0,0.0
2021-04-18,0-19,374.0,12.0,4.0,0.0
2021-04-18,20-29,64.0,16.0,19.0,0.0
2021-04-18,30-39,56.0,16.0,28.0,0.0
2021-04-18,40-49,58.0,8.0,41.0,0.0
2021-04-18,50-59,24.0,12.0,13.0,0.0
2021-04-18,60-69,21.0,4.0,18.0,0.0
2021-04-18,70-79,12.0,4.0,12.0,0.0
2021-04-18,80-89,10.0,4.0,11.0,0.0
2021-04-18,90+,4.0,0.0,8.0,0.0
2021-04-18,total,623.0,76.0,154.0,0.0
2021-04-25,0-19,279.0,4.0,8.0,0.0
2021-04-25,20-29,36.0,8.0,8.0,0.0
2021-04-25,30-39,29.0,12.0,23.0,0.0
2021-04-25,40-49,30.0,12.0,18.0,0.0
2021-04-25,50-59,14.0,12.0,14.0,0.0
2021-04-25,60-69,11.0,0.0,10.0,0.0
2021-04-25,70-79,9.0,8.0,13.0,0.0
2021-04-25,80-89,4.0,0.0,4.0,0.0
2021-04-25,90+,4.0,0.0,4.0,0.0
2021-04-25,total,416.0,56.0,102.0,0.0
2021-05-02,0-19,163.0,0.0,4.0,0.0
2021-05-02,20-29,19.0,8.0,5.0,0.0
2021-05-02,30-39,22.0,4.0,16.0,0.0
2021-05-02,40-49,19.0,4.0,14.0,0.0
2021-05-02,50-59,18.0,0.0,10.0,0.0
2021-05-02,60-69,10.0,4.0,9.0,0.0
2021-05-02,70-79,6.0,4.0,0.0,0.0
2021-05-02,80-89,4.0,0.0,8.0,0.0
2021-05-02,90+,4.0,0.0,4.0,0.0
2021-05-02,total,265.0,24.0,70.0,0.0
2021-05-09,0-19,126.0,4.0,4.0,0.0
2021-05-09,20-29,11.0,4.0,8.0,0.0
2021-05-09,30-39,8.0,4.0,8.0,0.0
2021-05-09,40-49,10.0,8.0,11.0,0.0
2021-05-09,50-59,9.0,0.0,11.0,0.0
2021-05-09,60-69,4.0,4.0,12.0,0.0
2021-05-09,70-79,4.0,0.0,8.0,0.0
2021-05-09,80-89,4.0,0.0,4.0,0.0
2021-05-09,90+,,,,
2021-05-09,total,176.0,24.0,66.0,0.0
2021-05-16,0-19,54.0,4.0,4.0,0.0
2021-05-16,20-29,6.0,8.0,4.0,0.0
