Sunday_date,Age_group,unvaccinated_share,1st_dose_share,2nd_dose_share,3rd_dose_share
2020-12-20,0-19,0.9139398659146799,0.08606013408532301,0.0,0.0
2020-12-20,20-29,1.0000000000000009,0.0,0.0,0.0
2020-12-20,30-39,1.0000000000000009,0.0,0.0,0.0
2020-12-20,40-49,1.000000000000001,0.0,0.0,0.0
2020-12-20,50-59,1.0000000000000002,0.0,0.0,0.0
2020-12-20,60-69,1.0000000000000007,0.0,0.0,0.0
2020-12-20,70-79,1.0000000000000009,0.0,0.0,0.0
2020-12-20,80-89,0.9999999999999992,0.0,0.0,0.0
2020-12-20,90+,0.9999999999999992,0.0,0.0,0.0
2020-12-27,0-19,0.6565634442996763,0.3434365557003233,0.0,0.0
2020-12-27,20-29,1.0000000000000009,0.0,0.0,0.0
2020-12-27,30-39,1.0000000000000009,0.0,0.0,0.0
2020-12-27,40-49,1.000000000000001,0.0,0.0,0.0
2020-12-27,50-59,1.0000000000000002,0.0,0.0,0.0
2020-12-27,60-69,1.0000000000000007,0.0,0.0,0.0
2020-12-27,70-79,1.0000000000000009,0.0,0.0,0.0
2020-12-27,80-89,0.9999999999999992,0.0,0.0,0.0
2020-12-27,90+,0.9999999999999992,0.0,0.0,0.0
2021-01-03,0-19,0.427350561402948,0.5726494385970511,0.0,0.0
2021-01-03,20-29,1.0000000000000009,0.0,0.0,0.0
2021-01-03,30-39,1.0000000000000009,0.0,0.0,0.0
2021-01-03,40-49,1.000000000000001,0.0,0.0,0.0
2021-01-03,50-59,1.0000000000000002,0.0,0.0,0.0
2021-01-03,60-69,1.0000000000000007,0.0,0.0,0.0
2021-01-03,70-79,1.0000000000000009,0.0,0.0,0.0
2021-01-03,80-89,0.9999999999999992,0.0,0.0,0.0
2021-01-03,90+,0.9999999999999992,0.0,0.0,0.0
2021-01-10,0-19,0.362100085880892,0.5518397800337841,0.08606013408532301,0.0
2021-01-10,20-29,1.0000000000000009,0.0,0.0,0.0
2021-01-10,30-39,1.0000000000000009,0.0,0.0,0.0
2021-01-10,40-49,1.000000000000001,0.0,0.0,0.0
2021-01-10,50-59,1.0000000000000002,0.0,0.0,0.0
2021-01-10,60-69,1.0000000000000007,0.0,0.0,0.0
2021-01-10,70-79,1.0000000000000009,0.0,0.0,0.0
2021-01-10,80-89,0.9999999999999992,0.0,0.0,0.0
2021-01-10,90+,0.9999999999999992,0.0,0.0,0.0
2021-01-17,0-19,0.25306566011348947,0.40349778418618687,0.3434365557003233,0.0
2021-01-17,20-29,1.0000000000000009,0.0,0.0,0.0
2021-01-17,30-39,1.0000000000000009,0.0,0.0,0.0
2021-01-17,40-49,1.000000000000001,0.0,0.0,0.0
2021-01-17,50-59,1.0000000000000002,0.0,0.0,0.0
2021-01-17,60-69,1.0000000000000007,0.0,0.0,0.0
2021-01-17,70-79,1.0000000000000009,0.0,0.0,0.0
2021-01-17,80-89,0.9999999999999992,0.0,0.0,0.0
2021-01-17,90+,0.9999999999999992,0.0,0.0,0.0
2021-01-24,0-19,0.19999999999999987,0.22735056140294893,0.5726494385970511,0.0
2021-01-24,20-29,0.7713702763381985,0.22862972366180243,0.0,0.0
2021-01-24,30-39,1.0000000000000009,0.0,0.0,0.0
2021-01-24,40-49,1.000000000000001,0.0,0.0,0.0
2021-01-24,50-59,1.0000000000000002,0.0,0.0,0.0
2021-01-24,60-69,1.0000000000000007,0.0,0.0,0.0
2021-01-24,70-79,1.0000000000000009,0.0,0.0,0.0
2021-01-24,80-89,0.9999999999999992,0.0,0.0,0.0
2021-01-24,90+,0.9999999999999992,0.0,0.0,0.0
2021-01-31,0-19,0.19999999999999987,0.1621000858808929,0.6378999141191072,0.0
2021-01-31,20-29,0.3941537989077798,0.6058462010922212,0.0,0.0
2021-01-31,30-39,1.0000000000000009,0.0,0.0,0.0
2021-01-31,40-49,1.000000000000001,0.0,0.0,0.0
2021-01-31,50-59,1.0000000000000002,0.0,0.0,0.0
2021-01-31,60-69,1.0000000000000007,0.0,0.0,0.0
2021-01-31,70-79,1.0000000000000009,0.0,0.0,0.0
2021-01-31,80-89,0.9999999999999992,0.0,0.0,0.0
2021-01-31,90+,0.9999999999999992,0.0,0.0,0.0
2021-02-07,0-19,0.19999999999999987,0.05306566011348986,0.7469343398865101,0.0
2021-02-07,20-29,0.1999999999999998,0.8,0.0,0.0
2021-02-07,30-39,0.8331689354561023,0.16683106454389865,0.0,0.0
2021-02-07,40-49,1.000000000000001,0.0,0.0,0.0
2021-02-07,50-59,1.0000000000000002,0.0,0.0,0.0
2021-02-07,60-69,1.0000000000000007,0.0,0.0,0.0
2021-02-07,70-79,1.0000000000000009,0.0,0.0,0.0
2021-02-07,80-89,0.9999999999999992,0.0,0.0,0.0
2021-02-07,90+,0.9999999999999992,0.0,0.0,0.0
2021-02-14,0-19,0.19999999999999987,0.0,0.8,0.0
2021-02-14,20-29,0.1999999999999998,0.5713702763381976,0.22862972366180243,0.0
2021-02-14,30-39,0.486438548527307,0.5135614514726939,0.0,0.0
2021-02-14,40-49,1.000000000000001,0.0,0.0,0.0
2021-02-14,50-59,1.0000000000000002,0.0,0.0,0.0
2021-02-14,60-69,1.0000000000000007,0.0,0.0,0.0
2021-02-14,70-79,1.0000000000000009,0.0,0.0,0.0
2021-02-14,80-89,0.9999999999999992,0.0,0.0,0.0
2021-02-14,90+,0.9999999999999992,0.0,0.0,0.0
2021-02-21,0-19,0.19999999999999987,0.0,0.8,0.0
2021-02-21,20-29,0.1999999999999998,0.1941537989077789,0.6058462010922212,0.0
2021-02-21,30-39,0.21742565352282497,0.7825743464771747,0.0,0.0
2021-02-21,40-49,1.000000000000001,0.0,0.0,0.0
2021-02-21,50-59,1.0000000000000002,0.0,0.0,0.0
2021-02-21,60-69,1.0000000000000007,0.0,0.0,0.0
2021-02-21,70-79,1.0000000000000009,0.0,0.0,0.0
2021-02-21,80-89,0.9999999999999992,0.0,0.0,0.0
2021-02-21,90+,0.9999999999999992,0.0,0.0,0.0
2021-02-28,0-19,0.19999999999999987,0.0,0.8,0.0
2021-02-28,20-29,0.1999999999999998,0.0,0.8,0.0
2021-02-28,30-39,0.19999999999999976,0.6331689354561013,0.16683106454389865,0.0
2021-02-28,40-49,0.8580450846766541,0.14195491532334864,0.0,0.0
2021-02-28,50-59,1.0000000000000002,0.0,0.0,0.0
2021-02-28,60-69,1.0000000000000007,0.0,0.0,0.0
2021-02-28,70-79,1.0000000000000009,0.0,0.0,0.0
2021-02-28,80-89,0.9999999999999992,0.0,0.0,0.0
2021-02-28,90+,0.9999999999999992,0.0,0.0,0.0
2021-03-07,0-19,0.19999999999999987,0.0,0.8,0.0
2021-03-07,20-29,0.1999999999999998,0.0,0.8,0.0
2021-03-07,30-39,0.19999999999999976,0.28643854852730605,0.5135614514726939,0.0
2021-03-07,40-49,0.7241183536797422,0.27588164632026047,0.0,0.0
2021-03-07,50-59,1.0000000000000002,0.0,0.0,0.0
2021-03-07,60-69,1.0000000000000007,0.0,0.0,0.0
2021-03-07,70-79,1.0000000000000009,0.0,0.0,0.0
2021-03-07,80-89,0.9999999999999992,0.0,0.0,0.0
2021-03-07,90+,0.9999999999999992,0.0,0.0,0.0
2021-03-14,0-19,0.19999999999999987,0.0,0.8,0.0
2021-03-14,20-29,0.1999999999999998,0.0,0.8,0.0
2021-03-14,30-39,0.19999999999999976,0.01742565352282523,0.7825743464771747,0.0
2021-03-14,40-49,0.5765176450742252,0.4234823549257762,0.0,0.0
2021-03-14,50-59,1.0000000000000002,0.0,0.0,0.0
2021-03-14,60-69,1.0000000000000007,0.0,0.0,0.0
2021-03-14,70-79,1.0000000000000009,0.0,0.0,0.0
2021-03-14,80-89,0.9999999999999992,0.0,0.0,0.0
2021-03-14,90+,0.9999999999999992,0.0,0.0,0.0
2021-03-21,0-19,0.19999999999999987,0.0,0.8,0.0
2021-03-21,20-29,0.1999999999999998,0.0,0.8,0.0
2021-03-21,30-39,0.19999999999999976,0.0,0.8,0.0
2021-03-21,40-49,0.5189370652326905,0.3391080194439615,0.14195491532334864,0.0
2021-03-21,50-59,1.0000000000000002,0.0,0.0,0.0
2021-03-21,60-69,1.0000000000000007,0.0,0.0,0.0
2021-03-21,70-79,1.0000000000000009,0.0,0.0,0.0
2021-03-21,80-89,0.9999999999999992,0.0,0.0,0.0
2021-03-21,90+,0.9999999999999992,0.0,0.0,0.0
2021-03-28,0-19,0.19999999999999987,0.0,0.8,0.0
2021-03-28,20-29,0.1999999999999998,0.0,0.8,0.0
2021-03-28,30-39,0.19999999999999976,0.0,0.8,0.0
2021-03-28,40-49,0.5189370652326905,0.2109873347242576,0.2700756000430526,0.0
2021-03-28,50-59,1.0000000000000002,0.0,0.0,0.0
2021-03-28,60-69,1.0000000000000007,0.0,0.0,0.0
2021-03-28,70-79,1.0000000000000009,0.0,0.0,0.0
2021-03-28,80-89,0.9999999999999992,0.0,0.0,0.0
2021-03-28,90+,0.9999999999999992,0.0,0.0,0.0
2021-04-04,0-19,0.19999999999999987,0.0,0.8,0.0
2021-04-04,20-29,0.1999999999999998,0.0,0.8,0.0
2021-04-04,30-39,0.19999999999999976,0.0,0.8,0.0
2021-04-04,40-49,0.5189370652326905,0.07260915236415721,0.40845378240315294,0.0
2021-04-04,50-59,1.0000000000000002,0.0,0.0,0.0
2021-04-04,60-69,1.0000000000000007,0.0,0.0,0.0
2021-04-04,70-79,1.0000000000000009,0.0,0.0,0.0
2021-04-04,80-89,0.9999999999999992,0.0,0.0,0.0
2021-04-04,90+,0.9999999999999992,0.0,0.0,0.0
2021-04-11,0-19,0.19999999999999987,0.0,0.7762541169572915,0.02374588304270853
2021-04-11,20-29,0.1999999999999998,0.0,0.8,0.0
2021-04-11,30-39,0.19999999999999976,0.0,0.8,0.0
2021-04-11,40-49,0.5189370652326905,0.07260915236415721,0.40845378240315294,0.0
2021-04-11,50-59,1.0000000000000002,0.0,0.0,0.0
2021-04-11,60-69,1.0000000000000007,0.0,0.0,0.0
2021-04-11,70-79,1.0000000000000009,0.0,0.0,0.0
2021-04-11,80-89,0.9999999999999992,0.0,0.0,0.0
2021-04-11,90+,0.9999999999999992,0.0,0.0,0.0
