,0-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2021-07-04,285.3712289651205,380.05184363771264,299.94184213874377,1516.3907105880444,1628.2835040521998,959.6617672544411,569.1916057434305,203.02221065590373,52.65274803603578
2021-07-11,242.58513680245017,737.7459609198389,496.73211705563887,3818.700418511547,4618.603284387965,2339.415062714944,1280.3772770867954,495.91984160493814,139.01368909687628
2021-07-18,237.96308309283336,1451.2962155622513,851.196651733174,9438.744549142284,13071.47835100803,5485.789722028141,2853.5109156636454,1321.8361182632857,386.9028015637358
2021-07-25,256.6617431543268,2933.7906354913916,1428.7617318315984,22982.726166659482,36217.9757729318,11979.781888715264,6113.799358462504,3217.387395791492,935.3163596404684
2021-08-01,287.13968940098255,5949.013531820199,2292.4266260261584,55484.385832999105,94291.96029344949,24374.688167009015,12251.604982130495,6575.355169703465,1941.27258107246
2021-08-08,268.3485368118795,11386.785335768649,3585.2664980383493,121378.63420220665,210418.60336264892,52319.93555874416,28176.253200125677,15051.71224741868,4269.022283854413
2021-08-15,167.85841888746882,19348.95130668359,4896.856993405517,209810.74374225776,370122.6404313784,125589.15730737656,88197.99736235157,46993.00938667661,11022.830586168111
2021-08-22,68.08675557905235,28446.56163236924,6064.718523955861,348697.81209173554,677513.4975278071,303730.76715322456,289594.92900827335,159198.45546768338,29997.685761952525
2021-08-29,18.617558685910808,23126.20459360585,6886.601827371755,588054.474834853,1423180.5719736284,725239.7090273695,970255.9106748954,551849.7144725523,83941.32231946182
2021-09-05,5.79356409191405,5574.568658264914,7575.452067262559,1156111.656039876,3040287.4449959947,1746246.2840523724,3150717.1896452745,1773789.2625857613,236601.6215742319
2021-09-12,1.772652291976783,352.17563122581487,6442.260753326427,2634184.3124393253,6310205.558350533,4286646.029311465,9572628.862065723,5051059.351041712,643814.087778871
2021-09-19,0.4986203382363783,105.50697649257927,2924.4390331581963,4714839.853886947,10026070.146300804,8292986.193036875,18995348.9319208,11253726.564527469,1397974.4591665866
2021-09-26,0.12549195432325178,30.775287507349276,665.8715418370593,6242390.996887256,10128658.849246465,10388921.883377232,18992043.349690005,15829506.44073397,2258470.817946107
2021-10-03,0.03517079137577639,9.201049004339438,130.90098390137427,5808010.7752715815,9106051.266563054,9251682.668229079,13734764.267295435,14124222.61277964,3395364.2062506066
2021-10-10,0.011753137015602988,2.8974014102786896,43.58237402854866,2663111.94319355,6811333.349656515,7111907.814668305,5821202.2360690385,9820242.730312884,4579452.83334852
2021-10-17,0.0040868100243187655,1.0101292316612671,16.429941529375355,610341.8529877327,4487411.208653338,5489995.755076499,1949534.033407472,5103663.549146127,5940158.832964291
2021-10-24,0.0013988757145853015,0.44505516334902495,6.976028373937879,158748.6483694315,2876821.9052838087,3875747.889088027,609572.822055608,2146292.397017263,6785291.977418648
2021-10-31,0.0005631117778648331,0.22423974316916429,3.232470552513405,38679.901284147054,1759001.6093274318,2326885.497289695,191478.3127283454,861718.932162337,6928440.538049156
2021-11-07,0.00030220529629332304,0.12983385739062214,1.7164797110381187,10160.219591792673,1087339.5156463683,1407066.6302102655,61431.372061021626,326494.50792557746,6350275.378290817
2021-11-14,0.00018872183363782824,0.08252240672300104,0.9993336984698544,3135.898032033816,662759.6981729902,812439.2386715785,18932.89534712583,124932.96728503704,5492562.306604061
2021-11-21,0.0001374530133944063,0.05789333342545433,0.6686400269536534,1164.3012778833508,403089.3246057518,443273.13992128894,5706.017432533205,44993.577877402306,4482118.993384272
2021-11-28,9.751779816724593e-05,0.04436772339249728,0.4989257442393864,452.2628047801554,237477.33360105008,237612.42596394196,1731.8203425109386,16121.619172275066,2875466.649091188
